src,timestamp,coordination.x,coordination.y
M_MOVE,1669607708.009,2632,1333
M_MOVE,1669607708.019,2625,1334
M_MOVE,1669607708.026,2615,1337
M_MOVE,1669607708.034,2610,1338
M_MOVE,1669607708.042,2599,1341
M_MOVE,1669607708.05,2593,1343
M_MOVE,1669607708.059,2582,1346
M_MOVE,1669607708.067,2574,1348
M_MOVE,1669607708.076,2564,1351
M_MOVE,1669607708.084,2559,1352
M_MOVE,1669607708.093,2552,1354
M_MOVE,1669607708.103,2548,1355
M_MOVE,1669607708.111,2545,1356
M_MOVE,1669607708.119,2544,1356
M_MOVE,1669607708.136,2543,1357
M_MOVE,1669607708.285,2546,1359
M_MOVE,1669607708.292,2553,1361
M_MOVE,1669607708.3,2557,1362
M_MOVE,1669607708.308,2567,1365
M_MOVE,1669607708.316,2578,1366
M_MOVE,1669607708.325,2583,1366
M_MOVE,1669607708.334,2594,1367
M_MOVE,1669607708.344,2604,1368
M_MOVE,1669607708.353,2612,1369
M_MOVE,1669607708.361,2615,1369
M_MOVE,1669607708.369,2619,1369
M_MOVE,1669607708.378,2622,1369
M_MOVE,1669607708.387,2623,1369
M_MOVE,1669607710.07,2624,1369
M_MOVE,1669607710.079,2624,1370
M_MOVE,1669607710.087,2627,1373
M_MOVE,1669607710.096,2630,1376
M_MOVE,1669607710.105,2633,1381
M_MOVE,1669607710.113,2638,1386
M_MOVE,1669607710.122,2643,1390
M_MOVE,1669607710.13,2647,1394
M_MOVE,1669607710.138,2651,1397
M_MOVE,1669607710.147,2656,1401
M_MOVE,1669607710.156,2662,1404
M_MOVE,1669607710.166,2665,1406
M_MOVE,1669607710.174,2668,1408
M_MOVE,1669607710.182,2670,1410
M_MOVE,1669607710.19,2672,1413
M_MOVE,1669607710.206,2676,1420
M_MOVE,1669607710.213,2677,1424
M_MOVE,1669607710.222,2678,1426
M_MOVE,1669607710.23,2680,1428
M_MOVE,1669607710.998,2679,1428
M_MOVE,1669607711.031,2678,1428
M_MOVE,1669607711.039,2678,1429
M_MOVE,1669607711.06,2678,1430
M_MOVE,1669607711.084,2677,1431
M_MOVE,1669607711.116,2676,1433
M_MOVE,1669607711.124,2676,1434
M_MOVE,1669607711.132,2676,1436
M_MOVE,1669607711.148,2676,1438
M_MOVE,1669607711.156,2676,1440
M_MOVE,1669607711.164,2676,1443
M_MOVE,1669607711.173,2676,1447
M_MOVE,1669607711.182,2676,1451
M_MOVE,1669607711.191,2677,1457
M_MOVE,1669607711.199,2677,1459
M_MOVE,1669607711.207,2678,1464
M_MOVE,1669607711.215,2680,1469
M_MOVE,1669607711.225,2680,1474
M_MOVE,1669607711.234,2681,1479
M_MOVE,1669607711.243,2683,1483
M_MOVE,1669607711.252,2683,1490
M_MOVE,1669607711.262,2683,1491
M_MOVE,1669607711.271,2683,1494
M_MOVE,1669607711.279,2684,1496
M_MOVE,1669607711.289,2684,1498
M_MOVE,1669607711.296,2684,1499
M_MOVE,1669607711.304,2684,1501
M_MOVE,1669607711.313,2684,1503
M_MOVE,1669607711.331,2684,1504
M_MOVE,1669607711.339,2684,1505
M_MOVE,1669607711.349,2684,1506
M_MOVE,1669607711.424,2684,1507
M_MOVE,1669607715.822,2678,1502
M_MOVE,1669607715.83,2665,1492
M_MOVE,1669607715.84,2640,1475
M_MOVE,1669607715.848,2612,1456
M_MOVE,1669607715.858,2561,1435
M_MOVE,1669607715.867,2492,1415
M_MOVE,1669607715.875,2426,1400
M_MOVE,1669607715.887,2343,1383
M_MOVE,1669607715.892,2273,1370
M_MOVE,1669607715.901,2185,1358
M_MOVE,1669607715.909,2112,1351
M_MOVE,1669607715.92,2040,1344
M_MOVE,1669607715.928,1884,1338
M_MOVE,1669607715.948,1815,1338
M_MOVE,1669607715.948,1742,1336
M_MOVE,1669607715.954,1691,1336
M_MOVE,1669607715.963,1655,1336
M_MOVE,1669607715.971,1620,1336
M_MOVE,1669607715.979,1604,1336
M_MOVE,1669607715.988,1594,1336
